1   19.77 0.0505816894
2   10.01 0.0999000999
4   5.020 0.1992031873
6   3.373 0.2964719834
8   2.522 0.3965107058
10  2.061 0.4852013586
12  1.703 0.5871990605
14  1.503 0.6653359947
16  1.289 0.7757951901
18  1.166 0.8576329331
20  1.058 0.9451795841
22  0.984 1.016260163
24  0.891 1.122334456

